rank,style_name,gender,category,fabric,length,downweight,sell_amount,sell_qty
1,안노네 미드,women,OUTER,-,-,-,51530780,86
2,오스티아,women,OUTER,-,-,-,48235900,60
3,레지아 N,women,OUTER,-,-,-,47167500,48
4,가에타 라이트,women,OUTER,-,-,-,32146410,95
5,발리아,women,OUTER,-,-,-,27242090,56
6,아이엘리 가디건,women,OUTER,-,-,-,22025770,63
7,페스칼리아,women,OUTER,-,-,-,21448500,32
8,리스케 베스트,women,OUTER,-,-,-,19186070,40
9,비아싸 N,women,OUTER,-,-,-,17782590,28
10,레지아 오버,women,OUTER,-,-,-,16849500,17
