rank,style_name,gender,category,fabric,length,downweight,sell_amount,sell_qty
1,람포레키오,men,BOTTOM,-,-,-,8795510,43
2,로프라노 조거,men,BOTTOM,-,-,-,7053370,23
3,레그레소 조거 N,men,BOTTOM,-,-,-,6831000,23
4,체르탈도,men,BOTTOM,-,-,-,5643000,21
5,카이바노,men,BOTTOM,-,-,-,5553500,22
6,체르키오,men,BOTTOM,-,-,-,2625000,8
7,세치나로,men,BOTTOM,-,-,-,2475000,8
8,브란 와이드,men,BOTTOM,-,-,-,2146000,8
9,리테르노,men,BOTTOM,-,-,-,660000,2
10,리모사노,men,BOTTOM,-,-,-,594000,2
