rank,style_name,gender,category,fabric,length,downweight,sell_amount,sell_qty
1,마쿠냐가,men,TOP,-,-,-,9282890,26
2,아일라노 풀오버,men,TOP,-,-,-,9032940,28
3,트렌토,men,TOP,-,-,-,8117320,55
4,레그레소 N,men,TOP,-,-,-,7839000,23
5,갈레세,men,TOP,-,-,-,6290500,48
6,로프라노 하프집,men,TOP,-,-,-,5070000,14
7,멘타나,men,TOP,-,-,-,4970000,16
8,아시아고,men,TOP,-,-,-,4067000,9
9,로프라노 풀집,men,TOP,-,-,-,3689990,9
10,만토바,men,TOP,-,-,-,3420000,9
