rank,style_name,gender,category,fabric,length,downweight,sell_amount,sell_qty
1,카사페 풀집,women,TOP,-,-,-,23823260,69
2,올리볼라 풀집,women,TOP,-,-,-,23352230,57
3,아베르사,women,TOP,-,-,-,17955000,50
4,아이아체 라운드,women,TOP,-,-,-,16471670,63
5,아이엘리 풀오버,women,TOP,-,-,-,13693830,43
6,솔레토 맨투맨,women,TOP,-,-,-,13213540,63
7,피시오타,women,TOP,-,-,-,12732350,23
8,카사페 하프집,women,TOP,-,-,-,12614020,49
9,메라노,women,TOP,-,-,-,11613000,26
10,페시나,women,TOP,-,-,-,10708680,37
