rank,style_name,sell_amount,sell_qty
1,피오카 패디드 뮬 2.0,13455000,154
2,피오카 3.0,7719000,98
3,피오카 럭스 2.0,5918000,47
4,라나,0,5
5,라나 뮬,-390000,17
