rank,style_name,gender,category,fabric,length,downweight,sell_amount,sell_qty
1,피오카 패디드 뮬 2.0,,SHOES,-,-,-,76459470,415
2,피오카 3.0,,SHOES,-,-,-,72121590,308
3,피오카 럭스 2.0,,SHOES,-,-,-,34396400,136
4,라나 뮬,,SHOES,-,-,-,13110100,72
5,피오라,,SHOES,-,-,-,9590750,60
6,라나,,SHOES,-,-,-,6512900,28
