rank,style_name,gender,category,fabric,length,downweight,sell_amount,sell_qty
1,주미 S,,ACC,-,-,-,53016570,275
2,토리아나 시티,,ACC,-,-,-,33293030,103
3,마테라 백팩 N,,ACC,-,-,-,21199360,67
4,포살토,,ACC,-,-,-,21024650,120
5,토리아나,,ACC,-,-,-,20926250,66
6,주미M,,ACC,-,-,-,18406000,69
7,세니세,,ACC,-,-,-,17542460,55
8,테라모 백팩 N,,ACC,-,-,-,15027390,42
9,테라모 백팩,,ACC,-,-,-,14114650,40
10,토리아나 시티 스웨이드,,ACC,-,-,-,12516030,31
