rank,style_name,gender,category,fabric,length,downweight,sell_amount,sell_qty
1,포폴로 벨벳,men,DOWN,-,-,-,149001840,138
2,아우바 N,men,DOWN,-,-,-,100439400,88
3,울리코,men,DOWN,-,-,-,77418050,86
4,마데시모,men,DOWN,-,-,-,54584110,76
5,캄필리오,men,DOWN,-,-,-,43016000,53
6,우르비노,men,DOWN,-,-,-,42877160,53
7,베네데따 N,men,DOWN,-,-,-,34268000,25
8,쿠크 미드 N,men,DOWN,-,-,-,34121000,25
9,몬테도로 N,men,DOWN,-,-,-,24802000,17
10,디마 코듀로이,men,DOWN,-,-,-,23619900,20
