rank,style_name,gender,category,fabric,length,downweight,sell_amount,sell_qty
1,브루쏜 N,men,OUTER,-,-,-,14569680,35
2,타란토,men,OUTER,-,-,-,12893630,24
3,아베차노,men,OUTER,-,-,-,10125710,22
4,아일라노 가디건,men,OUTER,-,-,-,6034000,17
5,레티냐노,men,OUTER,-,-,-,5357150,14
6,볼리바르 N,men,OUTER,-,-,-,5297470,12
7,폴리노,men,OUTER,-,-,-,4702500,10
8,가바르도,men,OUTER,-,-,-,2601500,7
9,아베차노 베스트,men,OUTER,-,-,-,2400500,7
10,필레티노 롱,men,OUTER,-,-,-,1422000,2
